"cluster","PROFITS","CREDIT.SCORE","RISK.PROFILE","ADDED.VALUE","FRUGALITY","CLIMATE.PROTECTION","LEGAL","TRUST","SAFETY","COST.EFFICIENCY","KNOWLEDGE","OWN.COMPETENCE","TECHNICAL.FIT","ENVIRONMENTAL.CONCERNS","SELF.SATISFACTION","COMMITMENT","ADHERENCE","AUTARKY","WELLBEING","COZINESS","RIGHTS.AND.DUTIES","PEER.PRESSURE","SUPPORT","SOCIALISING","AGREEMENT","NOVELTY","FUN","RECOGNITION","TRENDS","AUTHORITY","OWN.SIGNIFICANCE","APPROVAL"
1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2,1,1,1,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1
3,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1
