section_order,row_order,row_type,characteristic,profile_group,value
1,1,data,N participantes,Activista,71
1,1,data,N participantes,Cuidadoso/a,82
1,1,data,N participantes,Desinteresado/a,9
1,1,data,N participantes,Homo economicus,60
1,1,data,N participantes,Influyente,35
1,1,data,N participantes,Pionero,1
1,1,data,N participantes,Sensible,55
1,1,data,N participantes,Temeroso/a,68
1,1,data,N participantes,Total,403
2,1,data,"Edad, años (media (DE))",Activista,46.7 (15.6)
2,1,data,"Edad, años (media (DE))",Cuidadoso/a,34.6 (10.9)
2,1,data,"Edad, años (media (DE))",Desinteresado/a,34.4 (11.1)
2,1,data,"Edad, años (media (DE))",Homo economicus,37.5 (11.3)
2,1,data,"Edad, años (media (DE))",Influyente,53.7 (12.7)
2,1,data,"Edad, años (media (DE))",Pionero,28.0 (NA)
2,1,data,"Edad, años (media (DE))",Sensible,50.6 (13.0)
2,1,data,"Edad, años (media (DE))",Temeroso/a,46.1 (16.1)
2,1,data,"Edad, años (media (DE))",Total,43.9 (14.9)
3,0,header,Generación,Activista,
3,0,header,Generación,Cuidadoso/a,
3,0,header,Generación,Desinteresado/a,
3,0,header,Generación,Homo economicus,
3,0,header,Generación,Influyente,
3,0,header,Generación,Pionero,
3,0,header,Generación,Sensible,
3,0,header,Generación,Temeroso/a,
3,0,header,Generación,Total,
3,1,data,  Boomers +,Activista,23 (34.3%)
3,1,data,  Boomers +,Cuidadoso/a,7 (9.1%)
3,1,data,  Boomers +,Desinteresado/a,0 (0.0%)
3,1,data,  Boomers +,Homo economicus,6 (10.2%)
3,1,data,  Boomers +,Influyente,19 (54.3%)
3,1,data,  Boomers +,Pionero,0 (0.0%)
3,1,data,  Boomers +,Sensible,21 (38.2%)
3,1,data,  Boomers +,Temeroso/a,21 (31.8%)
3,1,data,  Boomers +,Total,105 (27.1%)
3,1,data,  Generación X,Activista,18 (26.9%)
3,1,data,  Generación X,Cuidadoso/a,12 (15.6%)
3,1,data,  Generación X,Desinteresado/a,3 (33.3%)
3,1,data,  Generación X,Homo economicus,12 (20.3%)
3,1,data,  Generación X,Influyente,10 (28.6%)
3,1,data,  Generación X,Pionero,0 (0.0%)
3,1,data,  Generación X,Sensible,23 (41.8%)
3,1,data,  Generación X,Temeroso/a,18 (27.3%)
3,1,data,  Generación X,Total,103 (26.6%)
3,1,data,  Generación Z,Activista,7 (10.4%)
3,1,data,  Generación Z,Cuidadoso/a,11 (14.3%)
3,1,data,  Generación Z,Desinteresado/a,2 (22.2%)
3,1,data,  Generación Z,Homo economicus,8 (13.6%)
3,1,data,  Generación Z,Influyente,0 (0.0%)
3,1,data,  Generación Z,Pionero,0 (0.0%)
3,1,data,  Generación Z,Sensible,2 (3.6%)
3,1,data,  Generación Z,Temeroso/a,6 (9.1%)
3,1,data,  Generación Z,Total,36 (9.3%)
3,1,data,  Millennials,Activista,19 (28.4%)
3,1,data,  Millennials,Cuidadoso/a,47 (61.0%)
3,1,data,  Millennials,Desinteresado/a,4 (44.4%)
3,1,data,  Millennials,Homo economicus,33 (55.9%)
3,1,data,  Millennials,Influyente,6 (17.1%)
3,1,data,  Millennials,Pionero,1 (100.0%)
3,1,data,  Millennials,Sensible,9 (16.4%)
3,1,data,  Millennials,Temeroso/a,21 (31.8%)
3,1,data,  Millennials,Total,143 (37.0%)
3,2,data,  Boomers +,Activista,23 (34.3%)
3,2,data,  Boomers +,Cuidadoso/a,7 (9.1%)
3,2,data,  Boomers +,Desinteresado/a,0 (0.0%)
3,2,data,  Boomers +,Homo economicus,6 (10.2%)
3,2,data,  Boomers +,Influyente,19 (54.3%)
3,2,data,  Boomers +,Pionero,0 (0.0%)
3,2,data,  Boomers +,Sensible,21 (38.2%)
3,2,data,  Boomers +,Temeroso/a,21 (31.8%)
3,2,data,  Boomers +,Total,105 (27.1%)
3,2,data,  Generación X,Activista,18 (26.9%)
3,2,data,  Generación X,Cuidadoso/a,12 (15.6%)
3,2,data,  Generación X,Desinteresado/a,3 (33.3%)
3,2,data,  Generación X,Homo economicus,12 (20.3%)
3,2,data,  Generación X,Influyente,10 (28.6%)
3,2,data,  Generación X,Pionero,0 (0.0%)
3,2,data,  Generación X,Sensible,23 (41.8%)
3,2,data,  Generación X,Temeroso/a,18 (27.3%)
3,2,data,  Generación X,Total,103 (26.6%)
3,2,data,  Generación Z,Activista,7 (10.4%)
3,2,data,  Generación Z,Cuidadoso/a,11 (14.3%)
3,2,data,  Generación Z,Desinteresado/a,2 (22.2%)
3,2,data,  Generación Z,Homo economicus,8 (13.6%)
3,2,data,  Generación Z,Influyente,0 (0.0%)
3,2,data,  Generación Z,Pionero,0 (0.0%)
3,2,data,  Generación Z,Sensible,2 (3.6%)
3,2,data,  Generación Z,Temeroso/a,6 (9.1%)
3,2,data,  Generación Z,Total,36 (9.3%)
3,2,data,  Millennials,Activista,19 (28.4%)
3,2,data,  Millennials,Cuidadoso/a,47 (61.0%)
3,2,data,  Millennials,Desinteresado/a,4 (44.4%)
3,2,data,  Millennials,Homo economicus,33 (55.9%)
3,2,data,  Millennials,Influyente,6 (17.1%)
3,2,data,  Millennials,Pionero,1 (100.0%)
3,2,data,  Millennials,Sensible,9 (16.4%)
3,2,data,  Millennials,Temeroso/a,21 (31.8%)
3,2,data,  Millennials,Total,143 (37.0%)
3,3,data,  Boomers +,Activista,23 (34.3%)
3,3,data,  Boomers +,Cuidadoso/a,7 (9.1%)
3,3,data,  Boomers +,Desinteresado/a,0 (0.0%)
3,3,data,  Boomers +,Homo economicus,6 (10.2%)
3,3,data,  Boomers +,Influyente,19 (54.3%)
3,3,data,  Boomers +,Pionero,0 (0.0%)
3,3,data,  Boomers +,Sensible,21 (38.2%)
3,3,data,  Boomers +,Temeroso/a,21 (31.8%)
3,3,data,  Boomers +,Total,105 (27.1%)
3,3,data,  Generación X,Activista,18 (26.9%)
3,3,data,  Generación X,Cuidadoso/a,12 (15.6%)
3,3,data,  Generación X,Desinteresado/a,3 (33.3%)
3,3,data,  Generación X,Homo economicus,12 (20.3%)
3,3,data,  Generación X,Influyente,10 (28.6%)
3,3,data,  Generación X,Pionero,0 (0.0%)
3,3,data,  Generación X,Sensible,23 (41.8%)
3,3,data,  Generación X,Temeroso/a,18 (27.3%)
3,3,data,  Generación X,Total,103 (26.6%)
3,3,data,  Generación Z,Activista,7 (10.4%)
3,3,data,  Generación Z,Cuidadoso/a,11 (14.3%)
3,3,data,  Generación Z,Desinteresado/a,2 (22.2%)
3,3,data,  Generación Z,Homo economicus,8 (13.6%)
3,3,data,  Generación Z,Influyente,0 (0.0%)
3,3,data,  Generación Z,Pionero,0 (0.0%)
3,3,data,  Generación Z,Sensible,2 (3.6%)
3,3,data,  Generación Z,Temeroso/a,6 (9.1%)
3,3,data,  Generación Z,Total,36 (9.3%)
3,3,data,  Millennials,Activista,19 (28.4%)
3,3,data,  Millennials,Cuidadoso/a,47 (61.0%)
3,3,data,  Millennials,Desinteresado/a,4 (44.4%)
3,3,data,  Millennials,Homo economicus,33 (55.9%)
3,3,data,  Millennials,Influyente,6 (17.1%)
3,3,data,  Millennials,Pionero,1 (100.0%)
3,3,data,  Millennials,Sensible,9 (16.4%)
3,3,data,  Millennials,Temeroso/a,21 (31.8%)
3,3,data,  Millennials,Total,143 (37.0%)
3,4,data,  Boomers +,Activista,23 (34.3%)
3,4,data,  Boomers +,Cuidadoso/a,7 (9.1%)
3,4,data,  Boomers +,Desinteresado/a,0 (0.0%)
3,4,data,  Boomers +,Homo economicus,6 (10.2%)
3,4,data,  Boomers +,Influyente,19 (54.3%)
3,4,data,  Boomers +,Pionero,0 (0.0%)
3,4,data,  Boomers +,Sensible,21 (38.2%)
3,4,data,  Boomers +,Temeroso/a,21 (31.8%)
3,4,data,  Boomers +,Total,105 (27.1%)
3,4,data,  Generación X,Activista,18 (26.9%)
3,4,data,  Generación X,Cuidadoso/a,12 (15.6%)
3,4,data,  Generación X,Desinteresado/a,3 (33.3%)
3,4,data,  Generación X,Homo economicus,12 (20.3%)
3,4,data,  Generación X,Influyente,10 (28.6%)
3,4,data,  Generación X,Pionero,0 (0.0%)
3,4,data,  Generación X,Sensible,23 (41.8%)
3,4,data,  Generación X,Temeroso/a,18 (27.3%)
3,4,data,  Generación X,Total,103 (26.6%)
3,4,data,  Generación Z,Activista,7 (10.4%)
3,4,data,  Generación Z,Cuidadoso/a,11 (14.3%)
3,4,data,  Generación Z,Desinteresado/a,2 (22.2%)
3,4,data,  Generación Z,Homo economicus,8 (13.6%)
3,4,data,  Generación Z,Influyente,0 (0.0%)
3,4,data,  Generación Z,Pionero,0 (0.0%)
3,4,data,  Generación Z,Sensible,2 (3.6%)
3,4,data,  Generación Z,Temeroso/a,6 (9.1%)
3,4,data,  Generación Z,Total,36 (9.3%)
3,4,data,  Millennials,Activista,19 (28.4%)
3,4,data,  Millennials,Cuidadoso/a,47 (61.0%)
3,4,data,  Millennials,Desinteresado/a,4 (44.4%)
3,4,data,  Millennials,Homo economicus,33 (55.9%)
3,4,data,  Millennials,Influyente,6 (17.1%)
3,4,data,  Millennials,Pionero,1 (100.0%)
3,4,data,  Millennials,Sensible,9 (16.4%)
3,4,data,  Millennials,Temeroso/a,21 (31.8%)
3,4,data,  Millennials,Total,143 (37.0%)
4,0,header,Género,Activista,
4,0,header,Género,Cuidadoso/a,
4,0,header,Género,Desinteresado/a,
4,0,header,Género,Homo economicus,
4,0,header,Género,Influyente,
4,0,header,Género,Pionero,
4,0,header,Género,Sensible,
4,0,header,Género,Temeroso/a,
4,0,header,Género,Total,
4,1,data,  Hombre,Activista,39 (57.4%)
4,1,data,  Hombre,Cuidadoso/a,28 (36.8%)
4,1,data,  Hombre,Desinteresado/a,3 (33.3%)
4,1,data,  Hombre,Homo economicus,16 (26.7%)
4,1,data,  Hombre,Influyente,22 (64.7%)
4,1,data,  Hombre,Pionero,0 (0.0%)
4,1,data,  Hombre,Sensible,44 (80.0%)
4,1,data,  Hombre,Temeroso/a,32 (47.8%)
4,1,data,  Hombre,Total,192 (49.5%)
4,1,data,  Mujer,Activista,27 (39.7%)
4,1,data,  Mujer,Cuidadoso/a,48 (63.2%)
4,1,data,  Mujer,Desinteresado/a,5 (55.6%)
4,1,data,  Mujer,Homo economicus,44 (73.3%)
4,1,data,  Mujer,Influyente,12 (35.3%)
4,1,data,  Mujer,Pionero,1 (100.0%)
4,1,data,  Mujer,Sensible,10 (18.2%)
4,1,data,  Mujer,Temeroso/a,35 (52.2%)
4,1,data,  Mujer,Total,192 (49.5%)
4,1,data,  Otro / Prefiere no decirlo,Activista,2 (2.9%)
4,1,data,  Otro / Prefiere no decirlo,Cuidadoso/a,0 (0.0%)
4,1,data,  Otro / Prefiere no decirlo,Desinteresado/a,1 (11.1%)
4,1,data,  Otro / Prefiere no decirlo,Homo economicus,0 (0.0%)
4,1,data,  Otro / Prefiere no decirlo,Influyente,0 (0.0%)
4,1,data,  Otro / Prefiere no decirlo,Pionero,0 (0.0%)
4,1,data,  Otro / Prefiere no decirlo,Sensible,1 (1.8%)
4,1,data,  Otro / Prefiere no decirlo,Temeroso/a,0 (0.0%)
4,1,data,  Otro / Prefiere no decirlo,Total,4 (1.0%)
4,2,data,  Hombre,Activista,39 (57.4%)
4,2,data,  Hombre,Cuidadoso/a,28 (36.8%)
4,2,data,  Hombre,Desinteresado/a,3 (33.3%)
4,2,data,  Hombre,Homo economicus,16 (26.7%)
4,2,data,  Hombre,Influyente,22 (64.7%)
4,2,data,  Hombre,Pionero,0 (0.0%)
4,2,data,  Hombre,Sensible,44 (80.0%)
4,2,data,  Hombre,Temeroso/a,32 (47.8%)
4,2,data,  Hombre,Total,192 (49.5%)
4,2,data,  Mujer,Activista,27 (39.7%)
4,2,data,  Mujer,Cuidadoso/a,48 (63.2%)
4,2,data,  Mujer,Desinteresado/a,5 (55.6%)
4,2,data,  Mujer,Homo economicus,44 (73.3%)
4,2,data,  Mujer,Influyente,12 (35.3%)
4,2,data,  Mujer,Pionero,1 (100.0%)
4,2,data,  Mujer,Sensible,10 (18.2%)
4,2,data,  Mujer,Temeroso/a,35 (52.2%)
4,2,data,  Mujer,Total,192 (49.5%)
4,2,data,  Otro / Prefiere no decirlo,Activista,2 (2.9%)
4,2,data,  Otro / Prefiere no decirlo,Cuidadoso/a,0 (0.0%)
4,2,data,  Otro / Prefiere no decirlo,Desinteresado/a,1 (11.1%)
4,2,data,  Otro / Prefiere no decirlo,Homo economicus,0 (0.0%)
4,2,data,  Otro / Prefiere no decirlo,Influyente,0 (0.0%)
4,2,data,  Otro / Prefiere no decirlo,Pionero,0 (0.0%)
4,2,data,  Otro / Prefiere no decirlo,Sensible,1 (1.8%)
4,2,data,  Otro / Prefiere no decirlo,Temeroso/a,0 (0.0%)
4,2,data,  Otro / Prefiere no decirlo,Total,4 (1.0%)
4,3,data,  Hombre,Activista,39 (57.4%)
4,3,data,  Hombre,Cuidadoso/a,28 (36.8%)
4,3,data,  Hombre,Desinteresado/a,3 (33.3%)
4,3,data,  Hombre,Homo economicus,16 (26.7%)
4,3,data,  Hombre,Influyente,22 (64.7%)
4,3,data,  Hombre,Pionero,0 (0.0%)
4,3,data,  Hombre,Sensible,44 (80.0%)
4,3,data,  Hombre,Temeroso/a,32 (47.8%)
4,3,data,  Hombre,Total,192 (49.5%)
4,3,data,  Mujer,Activista,27 (39.7%)
4,3,data,  Mujer,Cuidadoso/a,48 (63.2%)
4,3,data,  Mujer,Desinteresado/a,5 (55.6%)
4,3,data,  Mujer,Homo economicus,44 (73.3%)
4,3,data,  Mujer,Influyente,12 (35.3%)
4,3,data,  Mujer,Pionero,1 (100.0%)
4,3,data,  Mujer,Sensible,10 (18.2%)
4,3,data,  Mujer,Temeroso/a,35 (52.2%)
4,3,data,  Mujer,Total,192 (49.5%)
4,3,data,  Otro / Prefiere no decirlo,Activista,2 (2.9%)
4,3,data,  Otro / Prefiere no decirlo,Cuidadoso/a,0 (0.0%)
4,3,data,  Otro / Prefiere no decirlo,Desinteresado/a,1 (11.1%)
4,3,data,  Otro / Prefiere no decirlo,Homo economicus,0 (0.0%)
4,3,data,  Otro / Prefiere no decirlo,Influyente,0 (0.0%)
4,3,data,  Otro / Prefiere no decirlo,Pionero,0 (0.0%)
4,3,data,  Otro / Prefiere no decirlo,Sensible,1 (1.8%)
4,3,data,  Otro / Prefiere no decirlo,Temeroso/a,0 (0.0%)
4,3,data,  Otro / Prefiere no decirlo,Total,4 (1.0%)
5,0,header,País de residencia,Activista,
5,0,header,País de residencia,Cuidadoso/a,
5,0,header,País de residencia,Desinteresado/a,
5,0,header,País de residencia,Homo economicus,
5,0,header,País de residencia,Influyente,
5,0,header,País de residencia,Pionero,
5,0,header,País de residencia,Sensible,
5,0,header,País de residencia,Temeroso/a,
5,0,header,País de residencia,Total,
5,1,data,  España,Activista,40 (57.1%)
5,1,data,  España,Cuidadoso/a,9 (11.1%)
5,1,data,  España,Desinteresado/a,3 (33.3%)
5,1,data,  España,Homo economicus,9 (15.0%)
5,1,data,  España,Influyente,31 (88.6%)
5,1,data,  España,Pionero,0 (0.0%)
5,1,data,  España,Sensible,45 (88.2%)
5,1,data,  España,Temeroso/a,36 (52.9%)
5,1,data,  España,Total,186 (47.0%)
5,1,data,  Otro país europeo,Activista,30 (42.9%)
5,1,data,  Otro país europeo,Cuidadoso/a,72 (88.9%)
5,1,data,  Otro país europeo,Desinteresado/a,6 (66.7%)
5,1,data,  Otro país europeo,Homo economicus,51 (85.0%)
5,1,data,  Otro país europeo,Influyente,4 (11.4%)
5,1,data,  Otro país europeo,Pionero,1 (100.0%)
5,1,data,  Otro país europeo,Sensible,6 (11.8%)
5,1,data,  Otro país europeo,Temeroso/a,32 (47.1%)
5,1,data,  Otro país europeo,Total,210 (53.0%)
5,2,data,  España,Activista,40 (57.1%)
5,2,data,  España,Cuidadoso/a,9 (11.1%)
5,2,data,  España,Desinteresado/a,3 (33.3%)
5,2,data,  España,Homo economicus,9 (15.0%)
5,2,data,  España,Influyente,31 (88.6%)
5,2,data,  España,Pionero,0 (0.0%)
5,2,data,  España,Sensible,45 (88.2%)
5,2,data,  España,Temeroso/a,36 (52.9%)
5,2,data,  España,Total,186 (47.0%)
5,2,data,  Otro país europeo,Activista,30 (42.9%)
5,2,data,  Otro país europeo,Cuidadoso/a,72 (88.9%)
5,2,data,  Otro país europeo,Desinteresado/a,6 (66.7%)
5,2,data,  Otro país europeo,Homo economicus,51 (85.0%)
5,2,data,  Otro país europeo,Influyente,4 (11.4%)
5,2,data,  Otro país europeo,Pionero,1 (100.0%)
5,2,data,  Otro país europeo,Sensible,6 (11.8%)
5,2,data,  Otro país europeo,Temeroso/a,32 (47.1%)
5,2,data,  Otro país europeo,Total,210 (53.0%)
6,0,header,Región europea,Activista,
6,0,header,Región europea,Cuidadoso/a,
6,0,header,Región europea,Desinteresado/a,
6,0,header,Región europea,Homo economicus,
6,0,header,Región europea,Influyente,
6,0,header,Región europea,Pionero,
6,0,header,Región europea,Sensible,
6,0,header,Región europea,Temeroso/a,
6,0,header,Región europea,Total,
6,1,data,  Europa Occidental,Activista,12 (17.1%)
6,1,data,  Europa Occidental,Cuidadoso/a,21 (25.9%)
6,1,data,  Europa Occidental,Desinteresado/a,2 (22.2%)
6,1,data,  Europa Occidental,Homo economicus,20 (33.3%)
6,1,data,  Europa Occidental,Influyente,1 (2.9%)
6,1,data,  Europa Occidental,Pionero,1 (100.0%)
6,1,data,  Europa Occidental,Sensible,4 (7.8%)
6,1,data,  Europa Occidental,Temeroso/a,7 (10.3%)
6,1,data,  Europa Occidental,Total,70 (17.7%)
6,1,data,  Europa del Este,Activista,3 (4.3%)
6,1,data,  Europa del Este,Cuidadoso/a,19 (23.5%)
6,1,data,  Europa del Este,Desinteresado/a,1 (11.1%)
6,1,data,  Europa del Este,Homo economicus,14 (23.3%)
6,1,data,  Europa del Este,Influyente,1 (2.9%)
6,1,data,  Europa del Este,Pionero,0 (0.0%)
6,1,data,  Europa del Este,Sensible,1 (2.0%)
6,1,data,  Europa del Este,Temeroso/a,10 (14.7%)
6,1,data,  Europa del Este,Total,50 (12.6%)
6,1,data,  Europa del Norte,Activista,11 (15.7%)
6,1,data,  Europa del Norte,Cuidadoso/a,20 (24.7%)
6,1,data,  Europa del Norte,Desinteresado/a,2 (22.2%)
6,1,data,  Europa del Norte,Homo economicus,9 (15.0%)
6,1,data,  Europa del Norte,Influyente,2 (5.7%)
6,1,data,  Europa del Norte,Pionero,0 (0.0%)
6,1,data,  Europa del Norte,Sensible,0 (0.0%)
6,1,data,  Europa del Norte,Temeroso/a,5 (7.4%)
6,1,data,  Europa del Norte,Total,50 (12.6%)
6,1,data,  Europa del Sur,Activista,44 (62.9%)
6,1,data,  Europa del Sur,Cuidadoso/a,21 (25.9%)
6,1,data,  Europa del Sur,Desinteresado/a,4 (44.4%)
6,1,data,  Europa del Sur,Homo economicus,17 (28.3%)
6,1,data,  Europa del Sur,Influyente,31 (88.6%)
6,1,data,  Europa del Sur,Pionero,0 (0.0%)
6,1,data,  Europa del Sur,Sensible,46 (90.2%)
6,1,data,  Europa del Sur,Temeroso/a,46 (67.6%)
6,1,data,  Europa del Sur,Total,226 (57.1%)
6,1,data,  Otra región,Activista,0 (0.0%)
6,1,data,  Otra región,Cuidadoso/a,0 (0.0%)
6,1,data,  Otra región,Desinteresado/a,0 (0.0%)
6,1,data,  Otra región,Homo economicus,0 (0.0%)
6,1,data,  Otra región,Influyente,0 (0.0%)
6,1,data,  Otra región,Pionero,0 (0.0%)
6,1,data,  Otra región,Sensible,0 (0.0%)
6,1,data,  Otra región,Temeroso/a,0 (0.0%)
6,1,data,  Otra región,Total,0 (0.0%)
6,2,data,  Europa Occidental,Activista,12 (17.1%)
6,2,data,  Europa Occidental,Cuidadoso/a,21 (25.9%)
6,2,data,  Europa Occidental,Desinteresado/a,2 (22.2%)
6,2,data,  Europa Occidental,Homo economicus,20 (33.3%)
6,2,data,  Europa Occidental,Influyente,1 (2.9%)
6,2,data,  Europa Occidental,Pionero,1 (100.0%)
6,2,data,  Europa Occidental,Sensible,4 (7.8%)
6,2,data,  Europa Occidental,Temeroso/a,7 (10.3%)
6,2,data,  Europa Occidental,Total,70 (17.7%)
6,2,data,  Europa del Este,Activista,3 (4.3%)
6,2,data,  Europa del Este,Cuidadoso/a,19 (23.5%)
6,2,data,  Europa del Este,Desinteresado/a,1 (11.1%)
6,2,data,  Europa del Este,Homo economicus,14 (23.3%)
6,2,data,  Europa del Este,Influyente,1 (2.9%)
6,2,data,  Europa del Este,Pionero,0 (0.0%)
6,2,data,  Europa del Este,Sensible,1 (2.0%)
6,2,data,  Europa del Este,Temeroso/a,10 (14.7%)
6,2,data,  Europa del Este,Total,50 (12.6%)
6,2,data,  Europa del Norte,Activista,11 (15.7%)
6,2,data,  Europa del Norte,Cuidadoso/a,20 (24.7%)
6,2,data,  Europa del Norte,Desinteresado/a,2 (22.2%)
6,2,data,  Europa del Norte,Homo economicus,9 (15.0%)
6,2,data,  Europa del Norte,Influyente,2 (5.7%)
6,2,data,  Europa del Norte,Pionero,0 (0.0%)
6,2,data,  Europa del Norte,Sensible,0 (0.0%)
6,2,data,  Europa del Norte,Temeroso/a,5 (7.4%)
6,2,data,  Europa del Norte,Total,50 (12.6%)
6,2,data,  Europa del Sur,Activista,44 (62.9%)
6,2,data,  Europa del Sur,Cuidadoso/a,21 (25.9%)
6,2,data,  Europa del Sur,Desinteresado/a,4 (44.4%)
6,2,data,  Europa del Sur,Homo economicus,17 (28.3%)
6,2,data,  Europa del Sur,Influyente,31 (88.6%)
6,2,data,  Europa del Sur,Pionero,0 (0.0%)
6,2,data,  Europa del Sur,Sensible,46 (90.2%)
6,2,data,  Europa del Sur,Temeroso/a,46 (67.6%)
6,2,data,  Europa del Sur,Total,226 (57.1%)
6,2,data,  Otra región,Activista,0 (0.0%)
6,2,data,  Otra región,Cuidadoso/a,0 (0.0%)
6,2,data,  Otra región,Desinteresado/a,0 (0.0%)
6,2,data,  Otra región,Homo economicus,0 (0.0%)
6,2,data,  Otra región,Influyente,0 (0.0%)
6,2,data,  Otra región,Pionero,0 (0.0%)
6,2,data,  Otra región,Sensible,0 (0.0%)
6,2,data,  Otra región,Temeroso/a,0 (0.0%)
6,2,data,  Otra región,Total,0 (0.0%)
6,3,data,  Europa Occidental,Activista,12 (17.1%)
6,3,data,  Europa Occidental,Cuidadoso/a,21 (25.9%)
6,3,data,  Europa Occidental,Desinteresado/a,2 (22.2%)
6,3,data,  Europa Occidental,Homo economicus,20 (33.3%)
6,3,data,  Europa Occidental,Influyente,1 (2.9%)
6,3,data,  Europa Occidental,Pionero,1 (100.0%)
6,3,data,  Europa Occidental,Sensible,4 (7.8%)
6,3,data,  Europa Occidental,Temeroso/a,7 (10.3%)
6,3,data,  Europa Occidental,Total,70 (17.7%)
6,3,data,  Europa del Este,Activista,3 (4.3%)
6,3,data,  Europa del Este,Cuidadoso/a,19 (23.5%)
6,3,data,  Europa del Este,Desinteresado/a,1 (11.1%)
6,3,data,  Europa del Este,Homo economicus,14 (23.3%)
6,3,data,  Europa del Este,Influyente,1 (2.9%)
6,3,data,  Europa del Este,Pionero,0 (0.0%)
6,3,data,  Europa del Este,Sensible,1 (2.0%)
6,3,data,  Europa del Este,Temeroso/a,10 (14.7%)
6,3,data,  Europa del Este,Total,50 (12.6%)
6,3,data,  Europa del Norte,Activista,11 (15.7%)
6,3,data,  Europa del Norte,Cuidadoso/a,20 (24.7%)
6,3,data,  Europa del Norte,Desinteresado/a,2 (22.2%)
6,3,data,  Europa del Norte,Homo economicus,9 (15.0%)
6,3,data,  Europa del Norte,Influyente,2 (5.7%)
6,3,data,  Europa del Norte,Pionero,0 (0.0%)
6,3,data,  Europa del Norte,Sensible,0 (0.0%)
6,3,data,  Europa del Norte,Temeroso/a,5 (7.4%)
6,3,data,  Europa del Norte,Total,50 (12.6%)
6,3,data,  Europa del Sur,Activista,44 (62.9%)
6,3,data,  Europa del Sur,Cuidadoso/a,21 (25.9%)
6,3,data,  Europa del Sur,Desinteresado/a,4 (44.4%)
6,3,data,  Europa del Sur,Homo economicus,17 (28.3%)
6,3,data,  Europa del Sur,Influyente,31 (88.6%)
6,3,data,  Europa del Sur,Pionero,0 (0.0%)
6,3,data,  Europa del Sur,Sensible,46 (90.2%)
